name,tested,positive,deaths
AK,11119,337,9
AL,48387,5610,201
AR,31563,2438,44
AZ,56601,5459,229
CA,308700,35396,1354
CO,50645,10878,508
CT,69918,22469,1544
DC,15502,3361,139
DE,16912,3308,92
FL,298587,28832,960
GA,101062,21512,872
HI,25185,592,12
IA,28244,3748,90
ID,18092,1802,54
IL,164346,35108,1565
IN,69470,12438,661
KS,20203,2211,110
KY,36075,3373,185
LA,141672,25258,1473
MA,180462,42944,2182
MD,80100,15737,680
ME,15013,937,44
MI,125175,33966,2813
MN,51548,2942,200
MO,59266,6137,208
MS,53835,5153,201
MT,11875,442,14
NC,96185,7608,253
ND,15589,679,14
NE,17394,1813,45
NH,16012,1588,48
NJ,200148,99989,5368
NM,41232,2210,71
NV,34749,4208,189
NY,695920,263460,15740
OH,97998,14142,656
OK,47984,2894,170
OR,41185,2059,78
PA,171956,35684,1622
PR,11633,1252,63
RI,41722,5841,181
SC,43111,4761,140
SD,13446,1858,9
TN,114980,7842,166
TX,225078,21944,561
UT,76460,3445,34
VA,64518,10998,372
VT,13111,823,40
WA,147953,12494,692
WI,54347,4845,246
WV,27905,967,29
WY,7617,326,6
